ID,age,sex,monthly income,work hours/week,favourite colour,siblings,top finish placement,last time,bed time,wake up time,total sleep/night,caloric intake,steps taken
0932174,63,Male,$12411.0,44,gReeN,0,9th,30secs,10:51:23.905PM,8:1:34.866AM,0.73,2500,
0932175,41,male,$3608.0,39,gReeN,5,5th,23secs,12:38:3.667PM,6:3:43.6AM,11.93,3250,
0932176,59,m,$2360.0,72,red,3,0,28secs,12:39:3.665PM,6:4:32.873AM,8.52,3250,
0932177,63,M,$6552.0,5,green,8,7th,28secs,8:32:37.333PM,9:10:0.95AM,-4.9,3000,
0932178,39,Female,$9984.0,34,blue,8,4th,25secs,11:24:20.790PM,12:46:33.395PM,-6.41,3750,37503750375037503750
0932179,12,Female,$1068.0,16,None,1,7th,20secs,11:22:53.605PM,12:40:19.504PM,-11.93,2250,2250225022502250225022502250225022502250
0932180,29,Male,$1652.9999999999998,0,red,8,9th,26secs,11:0:37.736PM,9:26:45.701AM,7.55,2500,25002500250025002500
0932181,59,female,$2891.0,18,yellow,8,6th,24secs,7:25:28.178PM,10:18:20.298AM,-6.81,1750,17501750175017501750175017501750175017501750175017501750175017501750175017501750
0932182,41,M,$4141.0,72,BLUE,3,2nd,29secs,4:18:16.406AM,8:10:27.308AM,-4.62,3750,37503750375037503750375037503750375037503750375037503750375037503750375037503750
0932183,64,M,$8704.0,57,green,5,2nd,22secs,4:28:3.632AM,9:0:44.583AM,10.26,3000,300030003000300030003000300030003000300030003000300030003000
0932184,40,female,$4320.0,0,BLUE,3,9th,22secs,12:10:30.257PM,8:35:58.844AM,-6.45,3750,
0932185,28,Male,$7560.000000000001,52,BLUE,6,1st,27secs,3:38:6.775AM,8:16:7.297AM,12.38,2000,20002000200020002000
0932186,35,m,$2275.0,16,yellow,9,4th,25secs,1:48:27.742AM,12:49:39.623PM,0.46,2500,
0932187,9,Male,$1125.0,40,None,5,4th,22secs,3:30:32.120AM,5:48:14.303AM,11.22,3500,
0932188,76,0,$8588.0,40,None,7,6th,27secs,12:15:2.734PM,7:57:33.145AM,-0.4,2250,225022502250225022502250225022502250225022502250225022502250
0932189,66,Male,$10494.0,35,reD,4,1st,25secs,3:38:58.42AM,9:56:45.690AM,6.98,1500,1500150015001500150015001500150015001500
0932190,88,female,$10648.0,52,yellow,7,8th,24secs,10:6:50.70PM,11:31:53.886AM,8.35,1500,
0932191,79,male,$14299.0,47,gReeN,0,1st,21secs,10:56:35.892PM,10:5:18.53AM,9.78,3500,350035003500350035003500350035003500350035003500350035003500
