ID,age,sex,monthly income,work hours/week,favourite colour,siblings,top finish placement,last time,bed time,wake up time,total sleep/night,caloric intake,steps taken
0685000,51,X,$2244.0,69,gReeN,0,9th,23secs,7:21:4.255PM,8:11:35.263AM,-4.38,1750,17501750175017501750175017501750175017501750175017501750175017501750175017501750
0685001,76,X,$8740.0,55,red,0,8th,26secs,9:8:59.342PM,10:16:15.382AM,1.56,2000,
0685002,87,F,$10179.0,77,yellow,2,8th,22secs,9:39:37.87PM,9:8:21.496AM,-12.35,2250,22502250225022502250
0685003,49,F,$5341.0,72,None,1,4th,25secs,3:25:26.661AM,12:2:28.229PM,-8.86,1500,15001500150015001500150015001500150015001500150015001500150015001500150015001500
0685004,62,X,$6076.0,18,reD,9,8th,28secs,7:20:41.156PM,11:27:8.622AM,-1.05,3000,30003000300030003000
0685005,55,Male,$15730.0,25,BLUE,0,5th,22secs,7:39:11.25PM,7:47:10.689AM,-6.71,3500,
0685006,41,female,$6027.0,18,reD,7,6th,25secs,7:48:35.578PM,6:16:2.421AM,-1.77,2250,
0685007,21,female,$1197.0,10,blue,0,4th,27secs,4:20:32.849AM,11:16:37.305AM,-3.17,3750,3750375037503750375037503750375037503750
0685008,58,X,$16066.0,28,blue,2,2nd,23secs,8:7:55.817PM,12:2:4.958PM,10.0,1500,150015001500150015001500150015001500150015001500150015001500
0685009,63,f,$16569.0,21,blue,0,3rd,24secs,8:40:56.606PM,8:39:10.86AM,-0.25,2000,20002000200020002000
0685010,43,female,$8213.0,72,yellow,6,6th,23secs,7:22:58.501PM,11:3:17.72AM,7.27,1500,
0685011,41,male,$4469.0,8,gReeN,3,2nd,27secs,7:43:34.756PM,6:7:45.794AM,-1.61,3250,3250325032503250325032503250325032503250
0685012,75,m,$8175.000000000001,28,yellow,0,4th,24secs,2:7:24.71AM,11:24:8.0AM,1.77,2250,
0685013,20,F,$420.0,62,BLUE,6,7th,26secs,1:8:20.636AM,12:16:44.933PM,-8.9,3500,3500350035003500350035003500350035003500
0685014,18,F,$4428.0,15,None,3,2nd,21secs,7:37:4.452PM,6:15:48.777AM,-3.65,3750,37503750375037503750375037503750375037503750375037503750375037503750375037503750
0685015,26,X,$2548.0,37,reD,2,7th,29secs,2:20:0.948AM,7:32:21.734AM,-8.2,2250,22502250225022502250
0685016,52,m,$4940.0,53,yellow,4,3rd,25secs,12:31:56.910PM,5:48:45.351AM,-0.58,1500,
0685017,9,X,$2493.0,26,None,2,8th,27secs,8:41:0.252PM,7:53:31.668AM,-12.33,2750,27502750275027502750275027502750275027502750275027502750275027502750275027502750
0685018,50,m,$1300.0,75,BLUE,5,2nd,24secs,8:49:2.774PM,9:45:48.808AM,-2.52,1500,
0685019,50,M,$5600.000000000001,59,yellow,7,7th,27secs,1:44:38.466AM,9:44:12.940AM,3.01,2500,
0685020,8,X,$352.0,38,green,3,3rd,22secs,9:30:48.735PM,11:28:54.416AM,6.08,3500,3500350035003500350035003500350035003500
0685021,47,Male,$3525.0,60,None,6,8th,24secs,9:41:18.948PM,12:47:7.940PM,12.43,2250,
0685022,61,Female,$13725.0,21,gReeN,9,4th,26secs,11:10:47.272PM,9:0:3.841AM,10.02,1750,175017501750175017501750175017501750175017501750175017501750
0685023,37,M,$6956.0,21,blue,1,8th,24secs,9:12:40.906PM,8:26:19.387AM,-4.88,2750,275027502750275027502750275027502750275027502750275027502750
0685024,71,Male,$19809.0,26,None,3,3rd,30secs,9:18:59.815PM,11:17:31.328AM,1.97,2750,275027502750275027502750275027502750275027502750275027502750
0685025,66,Female,$5874.0,21,red,8,9th,25secs,1:49:19.54AM,9:48:59.919AM,-0.87,3250,
0685026,69,Female,$15111.0,78,red,1,8th,29secs,3:11:0.100AM,11:21:27.451AM,-10.34,2000,200020002000200020002000200020002000200020002000200020002000
0685027,8,X,$1855.9999999999998,55,yellow,5,5th,24secs,11:57:21.104PM,12:38:28.855PM,-12.32,2500,
0685028,52,Male,$13155.999999999998,14,reD,6,6th,25secs,11:44:17.127PM,8:4:58.175AM,-9.4,3750,37503750375037503750
0685029,78,male,$8970.0,57,blue,5,6th,23secs,4:13:38.924AM,12:31:6.340PM,-1.35,3000,
0685030,75,X,$13425.0,25,BLUE,8,3rd,23secs,7:9:41.805PM,12:26:13.88PM,11.84,3750,37503750375037503750375037503750375037503750375037503750375037503750375037503750
0685031,88,m,$8448.0,75,BLUE,3,5th,25secs,9:14:54.531PM,12:2:47.841PM,3.93,2250,2250225022502250225022502250225022502250
0685032,65,Female,$3769.9999999999995,54,green,2,1st,29secs,3:43:32.718AM,11:37:8.840AM,2.27,2000,20002000200020002000
0685033,25,Female,$3925.0,25,gReeN,8,7th,29secs,12:16:36.377PM,11:0:42.235AM,3.49,2250,22502250225022502250
