ID,age,sex,monthly income,work hours/week,favourite colour,siblings,top finish placement,last time,bed time,wake up time,total sleep/night,caloric intake,steps taken
0325549,37,f,$7400.0,32,reD,1,7th,24secs,12:51:27.134PM,12:15:36.464PM,5.78,3250,3250325032503250325032503250325032503250
0325550,45,female,$2205.0,71,blue,8,6th,20secs,7:45:18.324PM,8:42:37.167AM,9.32,3250,32503250325032503250
0325551,29,F,$3276.9999999999995,13,green,6,6th,29secs,8:58:9.937PM,11:2:34.775AM,10.97,3250,
0325552,86,Female,$16426.0,31,green,6,9th,25secs,7:57:48.964PM,7:44:23.420AM,-12.18,3250,
0325553,54,F,$13230.000000000002,68,BLUE,8,8th,22secs,9:25:15.350PM,6:19:53.23AM,4.47,2500,25002500250025002500250025002500250025002500250025002500250025002500250025002500
0325554,67,male,$8576.0,70,red,2,4th,29secs,10:54:36.110PM,11:14:13.658AM,-5.3,2250,
0325555,51,Male,0,15,green,9,8th,20secs,11:10:20.972PM,12:55:49.863PM,-8.6,1500,1500150015001500150015001500150015001500
0325556,62,male,$13082.0,7,None,2,7th,23secs,3:48:5.438AM,9:4:6.652AM,5.87,2500,
0325557,29,female,$2407.0,68,gReeN,1,7th,28secs,8:11:43.841PM,7:8:9.881AM,5.57,3750,37503750375037503750
0325558,48,F,$13343.999999999998,51,blue,4,2nd,28secs,11:5:42.600PM,8:4:50.873AM,-9.18,2750,27502750275027502750275027502750275027502750275027502750275027502750275027502750
0325559,39,male,$6903.0,16,BLUE,0,2nd,26secs,8:50:55.43PM,5:55:33.764AM,10.73,2250,
0325560,61,male,$13298.000000000002,12,blue,0,7th,28secs,3:51:41.377AM,6:6:57.363AM,8.68,1750,1750175017501750175017501750175017501750
0325561,18,F,$4392.0,71,BLUE,8,2nd,25secs,10:45:40.217PM,5:23:13.708AM,1.0,2750,2750275027502750275027502750275027502750
0325562,59,f,$12685.0,51,BLUE,1,1st,21secs,1:27:31.25AM,5:12:45.602AM,5.34,3750,37503750375037503750
0325563,62,F,$8432.0,9,blue,0,8th,21secs,8:8:53.554PM,9:3:47.567AM,-5.81,2250,22502250225022502250
0325564,74,m,$8362.0,64,blue,1,7th,21secs,12:42:58.730PM,7:8:26.669AM,12.22,3500,35003500350035003500
0325565,86,F,$23220.0,48,gReeN,1,8th,27secs,3:59:29.516AM,7:46:32.965AM,-0.68,3750,375037503750375037503750375037503750375037503750375037503750
0325566,55,female,$6105.000000000001,24,green,5,7th,26secs,12:40:4.632PM,7:17:48.165AM,-7.58,3750,
0325567,32,f,$992.0,22,red,1,3rd,22secs,7:31:55.478PM,11:36:28.189AM,6.27,2000,20002000200020002000200020002000200020002000200020002000200020002000200020002000
0325568,29,F,$7105.000000000001,54,red,7,1st,20secs,9:35:25.489PM,11:20:49.568AM,-8.1,1750,
0325569,36,male,$6084.0,46,None,4,2nd,29secs,1:50:24.760AM,12:21:29.706PM,-0.92,2000,
0325570,46,F,$7130.0,7,blue,2,5th,20secs,8:31:1.724PM,5:14:23.284AM,11.09,3250,
0325571,80,M,$13920.0,50,yellow,3,5th,26secs,3:24:23.123AM,8:28:53.762AM,0.28,3250,3250325032503250325032503250325032503250
0325572,63,female,$3213.0,73,blue,8,8th,28secs,10:0:7.232PM,5:15:27.306AM,11.2,2500,2500250025002500250025002500250025002500
0325573,77,X,$12551.0,53,reD,5,1st,22secs,8:45:1.753PM,8:36:20.638AM,-4.31,2750,2750275027502750275027502750275027502750
0325574,31,m,$4433.0,78,BLUE,9,8th,20secs,10:6:23.847PM,12:18:19.359PM,-10.33,1500,
0325575,61,F,$3599.0,16,gReeN,5,3rd,26secs,8:50:34.103PM,10:57:58.634AM,4.07,3000,
0325576,42,female,$4914.0,76,reD,6,6th,20secs,2:2:15.132AM,8:43:58.453AM,-3.42,3500,3500350035003500350035003500350035003500
0325577,48,Female,$4464.0,26,reD,2,3rd,25secs,7:9:10.721PM,8:0:10.336AM,-5.32,2000,
0325578,59,male,$3540.0,70,BLUE,0,9th,24secs,9:38:6.338PM,9:28:54.906AM,-4.9,3250,325032503250325032503250325032503250325032503250325032503250
0325579,12,m,$972.0000000000001,35,yellow,3,2nd,24secs,9:47:47.2PM,6:52:5.27AM,-12.39,2000,
0325580,82,male,$5576.0,9,gReeN,4,4th,0,3:11:42.137AM,8:32:36.481AM,-12.3,1750,
0325581,44,M,$2772.0,55,green,9,6th,28secs,4:2:21.79AM,11:49:4.548AM,-9.41,2250,
0325582,88,male,$18920.0,56,gReeN,9,8th,20secs,9:20:1.123PM,6:41:35.993AM,-5.36,3500,35003500350035003500350035003500350035003500350035003500350035003500350035003500
0325583,19,X,$2622.0,25,reD,8,1st,22secs,1:41:57.875AM,9:50:29.553AM,6.77,1750,
0325584,84,female,$22680.0,7,blue,3,9th,22secs,4:10:35.501AM,11:39:54.550AM,6.89,2750,
0325585,24,Female,$6576.000000000001,30,green,2,4th,30secs,1:45:56.6AM,6:15:25.275AM,12.39,2250,2250225022502250225022502250225022502250
0325586,71,F,$20448.0,72,0,7,3rd,27secs,2:13:8.478AM,12:58:32.13PM,7.88,3000,
0325587,23,m,$2139.0,32,yellow,6,7th,23secs,11:4:13.406PM,10:33:26.660AM,3.21,1500,1500150015001500150015001500150015001500
0325588,63,M,$6111.0,66,green,1,9th,29secs,12:24:50.736PM,9:16:17.220AM,-4.65,2500,250025002500250025002500250025002500250025002500250025002500
0325589,41,m,$6478.0,10,yellow,5,6th,24secs,11:33:8.879PM,11:11:25.654AM,9.18,2000,20002000200020002000200020002000200020002000200020002000200020002000200020002000
0325590,62,female,$18166.0,73,green,8,9th,20secs,7:34:46.114PM,11:18:59.776AM,7.8,2000,2000200020002000200020002000200020002000
0325591,17,f,$2499.0,7,yellow,9,8th,22secs,2:7:20.72AM,6:40:46.276AM,-4.12,2250,225022502250225022502250225022502250225022502250225022502250
0325592,70,f,$5670.0,19,BLUE,8,9th,20secs,9:49:40.648PM,8:7:22.795AM,-5.64,2750,
0325593,30,X,$5250.0,58,gReeN,8,4th,23secs,4:58:51.424AM,11:38:17.92AM,-4.35,2500,250025002500250025002500250025002500250025002500250025002500
0325594,57,M,$9177.0,31,yellow,0,6th,28secs,10:46:39.850PM,5:0:15.815AM,5.64,2250,
0325595,68,Male,$15028.0,56,gReeN,9,2nd,28secs,11:24:10.498PM,8:38:32.883AM,1.44,3250,
0325596,8,m,$2120.0,60,BLUE,9,5th,21secs,11:6:58.112PM,5:16:7.674AM,10.79,1750,
0325597,80,Female,$2400.0,21,None,2,6th,22secs,7:35:20.740PM,11:7:19.768AM,2.25,1750,17501750175017501750
0325598,86,X,$22446.0,35,yellow,3,9th,26secs,4:2:53.247AM,9:5:47.933AM,2.11,2250,
0325599,79,Female,$13193.0,61,yellow,5,5th,30secs,11:52:3.893PM,10:54:13.128AM,10.09,2000,
0325600,79,m,$22120.0,47,green,7,2nd,24secs,3:48:1.278AM,9:10:59.10AM,-5.56,2750,
0325601,45,F,$5535.0,39,None,7,5th,26secs,12:37:24.326PM,6:45:13.304AM,5.09,2250,225022502250225022502250225022502250225022502250225022502250
0325602,39,X,$2457.0,73,red,7,9th,25secs,12:45:12.632PM,11:27:1.920AM,-0.55,1750,17501750175017501750175017501750175017501750175017501750175017501750175017501750
0325603,19,Male,$2337.0,41,BLUE,1,9th,27secs,3:14:3.967AM,11:51:21.632AM,-10.83,3250,32503250325032503250
0325604,64,Female,$4032.0,24,red,9,9th,22secs,12:53:23.848PM,7:57:5.660AM,-0.41,3000,
0325605,8,X,$1240.0,49,green,9,1st,27secs,8:1:25.549PM,9:42:15.617AM,10.41,2250,22502250225022502250225022502250225022502250225022502250225022502250225022502250
0325606,12,M,$2256.0,14,reD,7,8th,20secs,3:44:33.202AM,9:32:19.85AM,10.94,3750,3750375037503750375037503750375037503750
0325607,30,male,$4290.0,32,blue,8,3rd,24secs,9:10:53.769PM,5:23:34.687AM,-0.21,1750,
0325608,61,Male,$11712.0,53,red,3,4th,21secs,10:53:51.947PM,11:58:9.30AM,-6.04,2500,
0325609,24,M,$2088.0,34,reD,4,7th,21secs,8:23:9.464PM,5:51:55.70AM,-0.47,3000,300030003000300030003000300030003000300030003000300030003000
0325610,84,F,$16212.0,29,blue,7,5th,28secs,10:36:58.776PM,12:11:14.447PM,8.85,3500,3500350035003500350035003500350035003500
