ID,age,sex,monthly income,work hours/week,favourite colour,siblings,top finish placement,last time,bed time,wake up time,total sleep/night,caloric intake,steps taken
0633363,84,X,$12012.0,25,BLUE,2,4th,25secs,10:39:56.146PM,12:7:36.27PM,-4.74,2000,20002000200020002000
0633364,66,f,$17226.0,64,blue,0,6th,21secs,2:55:13.119AM,8:6:31.101AM,8.88,3500,350035003500350035003500350035003500350035003500350035003500
0633365,55,F,$5060.0,17,BLUE,1,5th,23secs,11:59:41.606PM,10:53:14.470AM,-1.93,3750,375037503750375037503750375037503750375037503750375037503750
0633366,50,m,$2700.0,35,green,0,9th,21secs,2:4:29.917AM,6:26:55.321AM,12.24,1500,150015001500150015001500150015001500150015001500150015001500
0633367,27,female,$2376.0,18,green,7,1st,23secs,7:17:18.168PM,7:28:59.301AM,-12.45,3750,3750375037503750375037503750375037503750
0633368,74,Male,$7770.0,72,yellow,3,8th,21secs,1:5:22.476AM,6:43:0.65AM,-9.19,3000,
0633369,87,F,$15312.0,10,0,6,5th,29secs,9:26:40.773PM,8:44:21.756AM,9.82,2000,20002000200020002000
0633370,50,m,$9600.0,15,green,9,8th,30secs,1:25:34.469AM,10:18:58.395AM,-9.06,2000,
0633371,32,0,$2528.0,36,None,6,8th,30secs,2:9:51.352AM,11:8:53.971AM,-10.09,2750,27502750275027502750
0633372,12,X,$2124.0,70,None,2,1st,22secs,12:29:42.515PM,8:23:21.577AM,5.39,3250,
0633373,52,X,$9048.0,28,blue,6,1st,28secs,10:14:50.345PM,7:6:44.326AM,10.04,3500,
0633374,61,female,$14579.0,26,BLUE,8,4th,26secs,1:14:49.974AM,9:41:46.505AM,10.02,2500,2500250025002500250025002500250025002500
0633375,58,Male,$3248.0000000000005,13,BLUE,8,7th,28secs,10:10:2.568PM,11:54:15.956AM,1.45,2000,
0633376,37,male,$2257.0,64,BLUE,1,6th,27secs,3:4:36.410AM,9:46:50.280AM,-7.28,2750,
0633377,25,f,$2475.0,32,None,7,1st,29secs,9:43:17.103PM,9:9:45.613AM,-6.29,3250,32503250325032503250
0633378,76,M,$3496.0,37,reD,5,2nd,20secs,4:27:48.554AM,8:3:36.501AM,-11.64,3000,300030003000300030003000300030003000300030003000300030003000
0633379,39,f,$1443.0,12,BLUE,0,9th,30secs,4:35:12.411AM,12:59:37.929PM,-4.01,2500,
0633380,41,m,$12177.0,42,red,0,2nd,23secs,9:40:18.331PM,8:43:49.396AM,-4.02,2250,22502250225022502250225022502250225022502250225022502250225022502250225022502250
0633381,79,male,$7426.0,50,BLUE,3,4th,27secs,3:52:46.730AM,11:16:35.487AM,-2.64,3250,3250325032503250325032503250325032503250
0633382,86,Female,$12212.0,39,gReeN,7,7th,27secs,3:38:52.990AM,7:54:41.860AM,4.31,2000,2000200020002000200020002000200020002000
