ID,age,sex,monthly income,work hours/week,favourite colour,siblings,top finish placement,last time,bed time,wake up time,total sleep/night,caloric intake,steps taken
0638946,12,M,$3276.0,74,yellow,5,6th,26secs,3:58:8.920AM,10:52:29.229AM,3.46,2500,25002500250025002500250025002500250025002500250025002500250025002500250025002500
0638947,11,Male,$1463.0,34,None,8,2nd,24secs,12:47:24.77PM,11:53:3.583AM,12.02,1750,0
0638948,7,M,$2058.0,65,red,9,5th,28secs,8:44:15.230PM,10:54:55.824AM,1.03,2750,2750275027502750275027502750275027502750
0638949,29,M,$2987.0,19,red,2,5th,22secs,8:34:52.144PM,7:58:22.807AM,-10.29,3250,
0638950,77,m,$13629.0,13,green,3,1st,21secs,4:7:46.648AM,6:24:53.442AM,8.57,1750,
0638951,37,m,$8066.000000000001,78,gReeN,9,3rd,26secs,2:53:27.89AM,5:10:47.560AM,-6.72,3000,3000300030003000300030003000300030003000
0638952,88,F,$4224.0,74,green,7,4th,27secs,1:39:14.929AM,11:20:11.964AM,-5.24,2000,
0638953,59,Female,$10561.0,44,reD,3,2nd,27secs,10:57:8.678PM,10:34:23.238AM,-9.41,2500,2500250025002500250025002500250025002500
0638954,36,F,$6624.0,54,None,1,1st,30secs,12:39:5.168PM,11:14:41.166AM,-3.31,2750,27502750275027502750275027502750275027502750275027502750275027502750275027502750
0638955,9,Male,$666.0,50,red,3,6th,23secs,1:49:49.678AM,6:23:20.753AM,-2.32,1500,1500150015001500150015001500150015001500
0638956,87,F,$11136.0,12,reD,6,2nd,26secs,3:26:18.277AM,12:39:17.922PM,-11.05,3500,
0638957,38,male,$10374.0,34,None,8,6th,24secs,12:28:7.516PM,5:25:22.874AM,-6.29,3500,350035003500350035003500350035003500350035003500350035003500
0638958,15,m,$600.0,73,gReeN,7,4th,23secs,8:29:12.520PM,0,-9.31,2500,25002500250025002500250025002500250025002500250025002500250025002500250025002500
0638959,17,male,$4250.0,59,gReeN,8,4th,22secs,1:45:48.82AM,8:54:15.589AM,-4.27,2000,20002000200020002000200020002000200020002000200020002000200020002000200020002000
0638960,23,X,$5106.0,65,BLUE,4,9th,23secs,3:41:58.343AM,5:23:29.662AM,-10.0,2250,
0638961,57,F,$1938.0000000000002,51,red,8,6th,26secs,12:0:6.365PM,6:3:51.951AM,9.55,1500,15001500150015001500150015001500150015001500150015001500150015001500150015001500
0638962,54,Male,$12258.0,27,gReeN,4,7th,25secs,1:9:44.481AM,7:33:2.959AM,9.63,2500,
0638963,31,female,$7936.0,12,red,6,1st,29secs,10:49:16.593PM,10:3:17.613AM,-2.09,3250,325032503250325032503250325032503250325032503250325032503250
0638964,21,f,$1050.0,24,green,7,4th,27secs,12:5:16.132PM,10:59:1.899AM,-8.9,2250,22502250225022502250
0638965,37,Female,$6882.0,57,gReeN,8,1st,22secs,4:40:1.256AM,9:45:2.793AM,4.08,2750,275027502750275027502750275027502750275027502750275027502750
0638966,61,Female,$16287.0,15,blue,4,5th,27secs,4:29:3.462AM,6:33:52.601AM,-5.42,2500,2500250025002500250025002500250025002500
0638967,75,Female,$7275.0,48,BLUE,2,8th,29secs,11:13:35.167PM,10:0:8.180AM,-6.44,1500,15001500150015001500150015001500150015001500150015001500150015001500150015001500
0638968,61,F,$18300.0,58,green,9,4th,20secs,12:10:59.78PM,11:53:46.224AM,-3.29,1500,
0638969,63,Male,$8568.0,28,yellow,5,5th,26secs,9:23:49.108PM,8:14:58.529AM,-7.06,0,250025002500250025002500250025002500250025002500250025002500
0638970,12,m,$312.0,22,green,3,7th,27secs,10:46:39.452PM,10:38:27.977AM,1.88,2500,
0638971,51,Female,$14535.0,67,green,3,9th,29secs,4:17:30.670AM,11:8:55.67AM,8.03,2000,20002000200020002000200020002000200020002000200020002000200020002000200020002000
0638972,56,M,$4872.0,27,green,5,4th,22secs,2:48:3.200AM,6:31:42.830AM,3.35,2750,
0638973,62,M,$2170.0,0,green,5,9th,25secs,9:56:41.690PM,10:44:37.508AM,-7.23,1500,15001500150015001500
0638974,31,Female,$3751.0,25,red,4,3rd,27secs,11:16:35.167PM,8:13:39.883AM,4.67,3500,
0638975,71,F,$18460.0,61,gReeN,6,5th,30secs,8:43:22.820PM,10:30:35.429AM,-4.65,3000,30003000300030003000
0638976,27,male,$7695.0,77,red,4,6th,24secs,4:39:5.694AM,7:45:29.227AM,-4.84,2250,
0638977,76,female,$11552.0,57,red,9,3rd,21secs,3:11:16.353AM,11:1:29.622AM,-7.38,3750,375037503750375037503750375037503750375037503750375037503750
0638978,84,f,$13440.0,22,gReeN,4,7th,26secs,12:55:28.466PM,12:12:7.939PM,8.89,2000,20002000200020002000200020002000200020002000200020002000200020002000200020002000
0638979,81,F,$20412.0,23,gReeN,9,2nd,29secs,2:50:0.183AM,8:13:45.654AM,11.16,2500,25002500250025002500250025002500250025002500250025002500250025002500250025002500
0638980,14,female,$3808.0000000000005,78,blue,2,4th,23secs,8:9:37.163PM,9:37:33.370AM,10.67,1500,150015001500150015001500150015001500150015001500150015001500
0638981,53,m,$1166.0,58,0,8,7th,25secs,11:58:13.623PM,9:40:27.890AM,11.94,3750,
0638982,22,F,$1408.0,60,reD,5,5th,28secs,2:58:7.266AM,7:16:28.942AM,4.9,2750,
0638983,32,X,$9472.0,78,red,9,3rd,23secs,8:9:1.515PM,7:38:39.803AM,8.3,2500,2500250025002500250025002500250025002500
