ID,age,sex,monthly income,work hours/week,favourite colour,siblings,top finish placement,last time,bed time,wake up time,total sleep/night,caloric intake,steps taken
0114206,57,female,$14022.0,37,yellow,8,4th,24secs,9:0:52.268PM,11:50:20.624AM,-5.58,2750,27502750275027502750
0114207,10,F,$1760.0,77,red,0,2nd,22secs,3:23:23.792AM,7:21:42.821AM,-0.02,3750,
0114208,30,X,$7560.0,69,BLUE,6,7th,23secs,2:50:27.624AM,9:12:59.587AM,-4.56,2000,20002000200020002000
0114209,66,m,$15114.0,72,green,2,9th,27secs,1:12:53.398AM,10:29:36.304AM,10.67,2250,225022502250225022502250225022502250225022502250225022502250
0114210,46,f,$11408.0,39,blue,3,9th,24secs,9:52:58.638PM,9:21:24.861AM,-0.75,2000,200020002000200020002000200020002000200020002000200020002000
0114211,54,m,$6264.0,6,green,9,5th,20secs,1:54:17.549AM,10:42:40.509AM,-8.51,3250,
0114212,71,m,0,31,gReeN,3,3rd,25secs,2:3:18.586AM,11:43:2.818AM,11.55,2500,
0114213,49,Female,$1862.0,55,reD,8,4th,24secs,10:13:33.370PM,11:50:25.95AM,-8.72,2000,20002000200020002000
0114214,21,Female,$3087.0,10,red,9,4th,21secs,12:28:58.317PM,11:11:8.689AM,-4.89,1500,
0114215,36,male,$8496.0,31,reD,1,6th,22secs,0,9:58:10.140AM,-10.89,2500,
0114216,56,F,$6944.0,11,BLUE,7,4th,20secs,12:54:3.237PM,12:42:0.603PM,10.14,2500,25002500250025002500250025002500250025002500250025002500250025002500250025002500
0114217,15,Male,$510.00000000000006,20,None,1,4th,25secs,10:0:42.543PM,11:4:6.421AM,-0.99,3750,
0114218,59,M,$9794.0,20,reD,8,8th,30secs,4:22:12.269AM,9:25:3.210AM,-8.84,3000,30003000300030003000
0114219,90,f,$11790.0,70,BLUE,3,3rd,22secs,8:4:20.197PM,9:0:21.484AM,8.74,1750,175017501750175017501750175017501750175017501750175017501750
0114220,18,Female,$2430.0,30,red,7,2nd,23secs,7:26:55.516PM,5:30:11.293AM,-3.47,3750,37503750375037503750375037503750375037503750375037503750375037503750375037503750
0114221,75,female,$3075.0,75,reD,6,2nd,25secs,9:24:25.773PM,0,-10.62,2250,22502250225022502250
0114222,57,f,$12369.0,36,BLUE,6,6th,25secs,9:3:50.246PM,10:18:55.231AM,6.03,1750,17501750175017501750
0114223,86,male,$21414.000000000004,72,None,0,8th,27secs,4:39:40.247AM,12:0:3.913PM,10.96,2000,20002000200020002000200020002000200020002000200020002000200020002000200020002000
0114224,27,F,$3591.0,54,green,0,1st,27secs,8:6:25.121PM,12:37:33.502PM,10.07,2250,22502250225022502250225022502250225022502250225022502250225022502250225022502250
0114225,69,X,$8625.0,53,yellow,9,8th,28secs,7:56:55.796PM,11:12:7.940AM,1.23,3500,35003500350035003500
