ID,age,sex,monthly income,work hours/week,favourite colour,siblings,top finish placement,last time,bed time,wake up time,total sleep/night,caloric intake,steps taken
0257040,75,Male,$18750.0,71,red,5,1st,20secs,2:58:45.953AM,8:48:16.161AM,10.94,2250,22502250225022502250225022502250225022502250225022502250225022502250225022502250
0257041,49,X,$5536.999999999999,69,BLUE,3,1st,26secs,12:36:0.180PM,7:14:5.931AM,2.39,2750,27502750275027502750275027502750275027502750275027502750275027502750275027502750
0257042,72,m,$5040.0,79,gReeN,8,3rd,26secs,4:30:16.306AM,6:46:45.760AM,1.9,3750,375037503750375037503750375037503750375037503750375037503750
0257043,8,M,$1416.0,50,reD,4,3rd,28secs,4:3:23.332AM,6:23:38.545AM,-10.67,1500,1500150015001500150015001500150015001500
0257044,28,female,$6188.0,68,red,5,9th,25secs,9:14:22.728PM,12:58:56.70PM,-7.02,3250,32503250325032503250325032503250325032503250325032503250325032503250325032503250
0257045,22,F,$3498.0,62,green,6,2nd,24secs,9:34:11.589PM,5:44:42.199AM,-6.37,2000,20002000200020002000200020002000200020002000200020002000200020002000200020002000
0257046,57,f,$2565.0,23,None,6,8th,20secs,12:51:24.555PM,12:49:28.636PM,-3.93,2250,2250225022502250225022502250225022502250
0257047,59,Male,$14868.0,6,reD,0,5th,24secs,4:0:34.686AM,12:35:31.409PM,8.61,2000,
0257048,56,m,$16016.0,27,gReeN,6,4th,26secs,8:48:12.194PM,9:38:30.571AM,-1.87,3750,3750375037503750375037503750375037503750
0257049,60,M,$5640.0,30,blue,5,8th,24secs,10:10:39.614PM,10:38:21.817AM,4.5,1500,1500150015001500150015001500150015001500
0257050,64,f,$12608.0,20,red,1,3rd,30secs,1:11:30.374AM,7:51:56.509AM,-11.44,3000,
0257051,85,M,$22355.0,61,reD,2,1st,30secs,2:43:47.357AM,6:54:43.277AM,-6.11,1500,150015001500150015001500150015001500150015001500150015001500
0257052,87,male,$14790.0,68,reD,1,4th,30secs,4:22:57.69AM,10:14:50.328AM,9.31,3750,375037503750375037503750375037503750375037503750375037503750
0257053,76,f,$9424.0,76,yellow,6,1st,22secs,4:52:54.961AM,11:50:10.670AM,-10.77,3500,
0257054,28,Female,$3724.0,41,BLUE,5,1st,29secs,2:31:47.594AM,7:9:7.273AM,10.16,2750,
0257055,76,X,$9196.0,11,yellow,3,8th,20secs,11:13:58.644PM,5:21:49.212AM,-12.48,3500,350035003500350035003500350035003500350035003500350035003500
0257056,65,m,$11895.0,76,reD,2,6th,25secs,0,5:0:52.705AM,3.63,3250,32503250325032503250325032503250325032503250325032503250325032503250325032503250
0257057,71,m,$9727.0,6,reD,7,4th,22secs,10:13:24.669PM,8:28:26.442AM,-4.52,2750,27502750275027502750275027502750275027502750275027502750275027502750275027502750
0257058,24,F,$1176.0,27,red,6,4th,26secs,7:15:9.856PM,10:21:16.262AM,11.03,3000,30003000300030003000300030003000300030003000300030003000300030003000300030003000
0257059,61,Male,$2989.0,38,gReeN,3,8th,23secs,3:8:21.730AM,12:42:0.992PM,-5.66,2000,
0257060,19,F,$2717.0,6,BLUE,3,5th,24secs,12:25:43.326PM,12:50:29.248PM,0.99,3250,32503250325032503250
0257061,63,female,$3653.9999999999995,57,reD,4,1st,21secs,1:10:3.967AM,6:50:30.519AM,8.76,2000,20002000200020002000
0257062,33,F,$7194.000000000001,20,blue,9,2nd,30secs,2:40:59.660AM,9:40:17.50AM,9.98,3000,30003000300030003000
0257063,89,f,$26166.0,56,blue,0,2nd,0,10:51:51.811PM,5:5:12.52AM,-7.34,3250,325032503250325032503250325032503250325032503250325032503250
0257064,76,f,$2812.0,13,green,5,1st,0,1:51:28.931AM,5:51:27.801AM,9.79,1750,175017501750175017501750175017501750175017501750175017501750
0257065,40,Female,$5800.0,58,None,3,0,22secs,2:0:33.172AM,5:39:12.564AM,-9.26,1500,1500150015001500150015001500150015001500
0257066,41,m,$3280.0,38,None,9,2nd,30secs,7:30:4.620PM,12:30:47.448PM,-9.21,3000,3000300030003000300030003000300030003000
0257067,30,Male,$5760.0,56,None,1,7th,25secs,3:7:55.243AM,5:38:19.350AM,-7.13,3750,0
0257068,47,f,$6063.0,25,BLUE,0,2nd,28secs,9:0:50.612PM,5:4:42.523AM,11.88,1500,1500150015001500150015001500150015001500
0257069,11,male,$1254.0,58,yellow,5,8th,26secs,12:16:30.233PM,8:42:52.161AM,-4.11,2250,225022502250225022502250225022502250225022502250225022502250
0257070,73,male,$10147.0,52,red,9,3rd,22secs,8:25:49.360PM,8:45:24.604AM,3.62,2250,
0257071,85,female,$1870.0,11,reD,4,6th,27secs,4:53:17.193AM,6:15:52.411AM,-10.21,3000,300030003000300030003000300030003000300030003000300030003000
0257072,47,X,$13113.0,47,None,3,2nd,25secs,12:39:53.259PM,9:39:21.86AM,-5.06,3250,32503250325032503250
0257073,63,Male,$8190.0,42,yellow,2,4th,22secs,2:53:28.750AM,11:34:11.466AM,9.62,1750,17501750175017501750175017501750175017501750175017501750175017501750175017501750
0257074,8,Female,$1632.0,46,red,8,5th,26secs,7:14:36.141PM,11:45:14.551AM,-0.06,1500,
0257075,49,Male,$5733.0,28,reD,1,4th,24secs,7:29:2.99PM,9:33:13.190AM,6.3,3750,37503750375037503750375037503750375037503750375037503750375037503750375037503750
0257076,40,m,$1600.0,31,red,7,4th,22secs,4:24:59.103AM,5:56:22.925AM,0.91,2500,2500250025002500250025002500250025002500
0257077,38,m,$8702.0,48,gReeN,9,2nd,27secs,10:31:59.813PM,6:15:5.394AM,0,3750,37503750375037503750
0257078,67,f,$16080.0,51,yellow,1,7th,27secs,9:29:5.504PM,8:52:55.702AM,0,3500,35003500350035003500350035003500350035003500350035003500350035003500350035003500
0257079,51,f,$4998.0,44,None,0,2nd,21secs,2:7:32.883AM,8:10:50.891AM,-6.73,2500,
0257080,53,Male,$6890.0,20,None,0,2nd,25secs,4:6:28.99AM,10:36:24.404AM,8.69,2000,20002000200020002000200020002000200020002000200020002000200020002000200020002000
0257081,20,f,$4400.0,62,green,0,4th,23secs,1:14:20.809AM,6:9:32.653AM,-8.78,1500,15001500150015001500
0257082,43,f,$10621.0,11,gReeN,5,5th,29secs,11:1:59.637PM,9:58:7.842AM,-2.66,2500,2500250025002500250025002500250025002500
0257083,48,X,$4560.0,64,yellow,9,5th,27secs,4:22:31.270AM,10:39:5.4AM,-10.48,1500,15001500150015001500
0257084,27,X,$3104.9999999999995,47,gReeN,4,9th,30secs,9:44:29.435PM,9:36:48.718AM,-5.08,2250,22502250225022502250225022502250225022502250225022502250225022502250225022502250
0257085,24,Male,$3096.0,15,yellow,5,3rd,24secs,7:21:34.686PM,8:21:1.172AM,4.59,2750,
0257086,51,male,$14841.0,36,reD,0,7th,21secs,12:57:21.693PM,12:48:57.475PM,-5.8,2250,22502250225022502250225022502250225022502250225022502250225022502250225022502250
0257087,78,female,$5382.0,59,yellow,6,5th,20secs,1:13:1.840AM,6:43:19.479AM,-12.22,3000,30003000300030003000300030003000300030003000300030003000300030003000300030003000
0257088,56,male,$5040.0,30,None,6,2nd,24secs,8:30:11.91PM,7:33:48.736AM,-11.44,2500,25002500250025002500250025002500250025002500250025002500250025002500250025002500
0257089,82,male,$10004.0,39,reD,9,8th,27secs,2:44:9.737AM,10:38:36.888AM,6.72,1500,
0257090,68,X,$20264.0,42,green,2,9th,23secs,9:7:5.641PM,8:25:37.287AM,-4.34,3750,375037503750375037503750375037503750375037503750375037503750
0257091,74,X,$10138.0,26,gReeN,5,5th,26secs,2:58:40.138AM,8:26:16.713AM,-0.4,2250,22502250225022502250
0257092,26,Female,$6786.0,78,yellow,7,7th,20secs,3:56:7.292AM,7:33:54.63AM,9.35,2000,200020002000200020002000200020002000200020002000200020002000
0257093,77,M,$15554.0,6,BLUE,6,8th,20secs,4:32:38.305AM,5:12:25.655AM,2.08,2000,20002000200020002000
0257094,25,female,$5575.0,42,gReeN,0,4th,24secs,10:51:56.99PM,7:55:53.225AM,-0.64,2250,22502250225022502250
0257095,80,female,$2160.0,67,reD,6,3rd,24secs,7:30:49.761PM,5:48:12.160AM,0.39,2750,
0257096,39,f,$7215.0,14,yellow,3,5th,27secs,1:44:57.52AM,10:10:15.587AM,-1.82,3000,
0257097,46,Female,$5106.0,14,yellow,4,5th,21secs,3:12:11.342AM,7:23:17.504AM,2.27,2000,2000200020002000200020002000200020002000
0257098,85,f,$19125.0,70,reD,5,1st,25secs,9:6:45.638PM,11:15:27.260AM,-3.0,1500,150015001500150015001500150015001500150015001500150015001500
0257099,88,Male,$7040.0,26,reD,0,3rd,28secs,11:1:45.234PM,7:7:16.506AM,-7.43,2250,22502250225022502250
0257100,33,Female,$3267.0,36,BLUE,9,9th,24secs,8:16:14.866PM,6:37:39.572AM,1.99,3750,37503750375037503750375037503750375037503750375037503750375037503750375037503750
0257101,58,m,$1681.9999999999998,12,blue,7,8th,27secs,2:45:51.538AM,8:57:36.691AM,6.48,2250,
