ID,age,sex,monthly income,work hours/week,favourite colour,siblings,top finish placement,last time,bed time,wake up time,total sleep/night,caloric intake,steps taken
0901756,80,F,$13280.0,66,gReeN,8,8th,29secs,11:0:27.17PM,8:31:15.491AM,10.54,3500,3500350035003500350035003500350035003500
0901757,57,female,$6270.000000000001,46,yellow,5,1st,30secs,2:27:56.7AM,12:44:14.760PM,7.4,3750,375037503750375037503750375037503750375037503750375037503750
0901758,47,female,$7660.999999999999,0,green,2,2nd,25secs,7:5:14.267PM,7:59:8.171AM,12.43,1500,1500150015001500150015001500150015001500
0901759,72,X,$15047.999999999998,37,green,4,4th,27secs,4:44:11.817AM,9:20:25.782AM,4.87,2250,
0901760,62,male,$10354.0,12,yellow,6,5th,27secs,4:45:6.496AM,8:14:10.63AM,1.45,2000,0
0901761,46,F,$4554.0,20,red,2,7th,22secs,12:49:40.651PM,9:26:49.87AM,-2.6,2500,2500250025002500250025002500250025002500
0901762,49,M,$8428.0,37,blue,2,6th,21secs,4:19:51.89AM,5:3:59.228AM,-1.74,3500,
0901763,78,M,$10842.0,14,red,7,5th,26secs,10:11:25.422PM,12:16:48.841PM,6.95,3250,32503250325032503250325032503250325032503250325032503250325032503250325032503250
0901764,50,Male,$1000.0,29,blue,9,9th,23secs,7:4:55.844PM,11:30:26.408AM,7.7,3750,
0901765,78,female,$15912.0,42,None,4,8th,28secs,7:0:39.730PM,11:9:15.588AM,7.7,2250,
0901766,43,M,$4085.0,78,green,9,2nd,22secs,1:40:46.883AM,7:29:5.5AM,8.17,3750,37503750375037503750375037503750375037503750375037503750375037503750375037503750
0901767,81,Male,$20331.0,72,reD,8,1st,23secs,4:33:8.458AM,11:39:29.353AM,-0.39,2000,
0901768,44,M,$1364.0,25,gReeN,4,9th,21secs,3:57:53.577AM,8:16:50.729AM,7.09,1750,
0901769,18,male,$4500.0,13,gReeN,5,7th,23secs,7:29:7.748PM,9:54:49.765AM,0,2500,2500250025002500250025002500250025002500
0901770,81,F,$15957.0,73,BLUE,7,6th,25secs,1:51:51.679AM,12:2:54.262PM,7.24,2000,2000200020002000200020002000200020002000
0901771,7,F,$231.0,5,reD,9,4th,29secs,2:40:37.400AM,5:18:16.496AM,10.5,2500,2500250025002500250025002500250025002500
0901772,44,M,$8228.0,28,blue,1,4th,30secs,3:48:9.978AM,8:29:18.750AM,-11.95,2500,2500250025002500250025002500250025002500
0901773,43,Female,$6880.0,59,yellow,1,8th,28secs,1:45:41.879AM,6:10:28.323AM,12.48,1500,
0901774,27,m,$3969.0,41,None,4,1st,26secs,8:48:22.428PM,6:0:26.783AM,6.15,3000,3000300030003000300030003000300030003000
0901775,60,male,$15780.0,8,gReeN,8,5th,22secs,10:28:13.459PM,7:9:55.621AM,6.44,3250,
0901776,47,Female,$7473.0,20,red,0,8th,23secs,9:18:40.417PM,10:8:33.469AM,4.95,1500,
0901777,75,male,$5550.0,59,gReeN,4,9th,20secs,11:43:1.944PM,5:34:41.781AM,-11.1,2500,
0901778,38,female,$3724.0,5,blue,0,1st,24secs,3:45:15.367AM,7:3:19.314AM,-12.23,2250,
0901779,24,F,$5928.000000000001,25,yellow,5,8th,28secs,9:28:45.611PM,8:52:24.710AM,11.81,2500,250025002500250025002500250025002500250025002500250025002500
0901780,79,female,$10349.0,21,green,9,9th,28secs,11:46:55.658PM,12:30:4.18PM,2.0,1500,150015001500150015001500150015001500150015001500150015001500
0901781,36,female,$6516.0,12,gReeN,8,2nd,21secs,7:41:18.482PM,8:3:43.827AM,-12.07,2750,27502750275027502750275027502750275027502750275027502750275027502750275027502750
0901782,56,F,$16128.0,52,gReeN,5,7th,30secs,12:26:3.358PM,12:11:46.515PM,6.83,1500,
0901783,82,male,$13612.0,46,None,2,1st,30secs,9:7:10.287PM,9:44:47.990AM,-1.89,3000,30003000300030003000
0901784,10,male,$650.0,47,BLUE,9,3rd,20secs,4:32:45.529AM,5:41:21.782AM,-4.98,2000,2000200020002000200020002000200020002000
0901785,63,F,$16506.0,19,red,4,9th,26secs,11:30:29.155PM,7:24:14.268AM,1.82,3000,
0901786,74,female,$2812.0,27,None,0,9th,28secs,8:26:39.602PM,9:11:36.886AM,1.3,1500,150015001500150015001500150015001500150015001500150015001500
0901787,19,M,$1577.0,63,reD,7,2nd,25secs,3:0:57.650AM,7:15:44.69AM,-7.93,3250,3250325032503250325032503250325032503250
0901788,7,female,$1260.0,27,reD,9,4th,21secs,11:1:24.276PM,6:38:52.618AM,5.01,2250,2250225022502250225022502250225022502250
0901789,8,male,$1896.0,10,blue,7,2nd,27secs,1:49:28.404AM,8:29:20.548AM,1.35,3500,3500350035003500350035003500350035003500
0901790,47,M,$13489.0,40,reD,7,2nd,29secs,2:8:45.773AM,0,-4.71,2750,275027502750275027502750275027502750275027502750275027502750
0901791,81,f,$4212.0,79,blue,9,8th,26secs,10:8:40.662PM,10:4:19.32AM,2.82,3500,35003500350035003500350035003500350035003500350035003500350035003500350035003500
0901792,42,female,$10458.0,29,BLUE,1,9th,26secs,12:49:48.394PM,10:20:8.212AM,12.05,1750,
0901793,75,female,$16425.0,26,reD,3,5th,20secs,8:20:41.437PM,10:48:36.429AM,0.07,1750,175017501750175017501750175017501750175017501750175017501750
0901794,7,f,$1540.0000000000002,9,None,7,9th,30secs,12:4:52.550PM,11:43:39.228AM,12.04,2750,
0901795,46,male,$1472.0,56,red,6,0,25secs,7:11:35.770PM,6:50:4.593AM,3.91,2750,275027502750275027502750275027502750275027502750275027502750
0901796,37,m,$5809.0,26,BLUE,2,4th,24secs,12:11:46.145PM,12:33:18.736PM,8.34,1500,15001500150015001500
0901797,22,male,$5192.0,18,None,4,8th,22secs,4:11:50.764AM,9:11:47.829AM,6.28,3250,3250325032503250325032503250325032503250
0901798,51,m,$9588.0,36,yellow,6,3rd,20secs,4:53:34.70AM,12:57:7.929PM,3.32,2000,20002000200020002000
0901799,42,Male,$1722.0,62,blue,1,9th,24secs,4:10:5.178AM,11:17:17.631AM,-9.71,2500,250025002500250025002500250025002500250025002500250025002500
0901800,37,female,$2997.0,44,red,1,9th,21secs,10:32:19.595PM,12:39:15.147PM,1.08,1750,1750175017501750175017501750175017501750
0901801,30,Male,$2670.0,33,blue,2,7th,29secs,11:14:32.251PM,8:27:56.396AM,-7.95,2500,25002500250025002500
0901802,77,male,$14630.0,11,reD,7,8th,29secs,2:15:4.226AM,8:59:27.228AM,3.93,2000,20002000200020002000200020002000200020002000200020002000200020002000200020002000
0901803,28,m,$5880.0,14,red,4,9th,22secs,11:31:43.966PM,5:0:34.674AM,-1.56,3750,3750375037503750375037503750375037503750
0901804,41,f,$7585.0,43,green,8,4th,27secs,4:0:12.779AM,12:22:19.886PM,4.37,3750,
0901805,45,F,$6975.0,27,green,8,7th,21secs,2:17:46.31AM,8:16:15.770AM,8.78,2500,250025002500250025002500250025002500250025002500250025002500
0901806,37,m,$10804.0,50,blue,0,1st,21secs,1:35:51.310AM,12:40:28.132PM,5.21,2250,22502250225022502250
0901807,23,F,$6095.0,55,blue,4,2nd,24secs,1:29:6.234AM,12:49:57.583PM,-4.28,3250,32503250325032503250
0901808,80,male,$8240.0,45,0,4,8th,29secs,2:24:12.55AM,12:46:36.244PM,11.74,2000,
0901809,69,female,$17181.0,6,blue,4,6th,20secs,10:4:18.636PM,5:19:24.403AM,-4.23,2500,25002500250025002500250025002500250025002500250025002500250025002500250025002500
0901810,11,Male,$583.0,75,gReeN,6,6th,28secs,1:20:33.680AM,9:15:46.53AM,9.06,3750,
0901811,78,M,$13884.0,28,None,3,9th,28secs,1:9:58.341AM,7:14:54.571AM,-5.78,2500,25002500250025002500
0901812,21,m,$3486.0,33,blue,4,2nd,25secs,4:58:59.43AM,8:36:12.214AM,-8.53,2250,22502250225022502250225022502250225022502250225022502250225022502250225022502250
0901813,10,Male,$350.0,25,None,4,5th,25secs,8:54:38.715PM,10:44:51.661AM,-2.01,2500,25002500250025002500
0901814,64,f,$11904.0,15,None,2,0,24secs,7:5:17.254PM,12:8:24.85PM,-0.45,2500,
0901815,34,male,$782.0,57,gReeN,7,7th,29secs,8:13:57.303PM,11:28:2.693AM,-3.39,3000,3000300030003000300030003000300030003000
0901816,83,Male,$19837.0,62,blue,4,3rd,26secs,2:25:58.920AM,6:4:59.427AM,-10.1,2250,2250225022502250225022502250225022502250
0901817,88,Female,$19624.0,65,red,7,7th,21secs,12:40:9.258PM,11:50:56.668AM,-1.01,2000,
0901818,86,female,$23306.0,27,blue,7,9th,29secs,0,12:36:17.201PM,-7.16,3750,37503750375037503750
0901819,56,Male,$12152.0,7,None,8,1st,21secs,8:9:23.919PM,10:48:12.389AM,-0.66,3500,3500350035003500350035003500350035003500
0901820,75,f,$8400.0,13,red,6,4th,29secs,9:45:39.461PM,10:3:37.30AM,-9.78,1750,1750175017501750175017501750175017501750
0901821,23,f,$3864.0,11,gReeN,5,2nd,22secs,3:1:40.526AM,9:56:22.825AM,8.21,2250,2250225022502250225022502250225022502250
0901822,74,Female,$15169.999999999998,77,reD,8,6th,20secs,7:32:44.38PM,7:12:47.367AM,-6.56,2000,200020002000200020002000200020002000200020002000200020002000
0901823,67,M,$19162.0,46,reD,8,3rd,20secs,10:1:57.573PM,11:38:6.683AM,-9.77,3250,325032503250325032503250325032503250325032503250325032503250
0901824,86,0,$21672.0,73,green,2,4th,24secs,7:51:39.261PM,10:9:24.116AM,12.06,3000,
0901825,45,female,$6165.000000000001,43,green,3,3rd,22secs,7:56:29.611PM,6:11:20.402AM,-0.4,3250,3250325032503250325032503250325032503250
0901826,31,male,$9083.0,67,reD,4,1st,29secs,4:32:49.944AM,8:25:58.897AM,-5.23,3750,375037503750375037503750375037503750375037503750375037503750
0901827,46,female,$12926.0,51,BLUE,0,1st,25secs,10:48:44.954PM,0,0.16,2750,275027502750275027502750275027502750275027502750275027502750
0901828,82,X,$22304.0,78,gReeN,2,0,22secs,4:10:16.147AM,9:0:26.734AM,9.29,1750,17501750175017501750175017501750175017501750175017501750175017501750175017501750
0901829,46,male,0,14,gReeN,7,4th,24secs,11:20:20.965PM,6:8:17.149AM,-5.63,2750,
0901830,76,f,$21204.0,23,green,0,7th,22secs,3:48:57.33AM,8:32:6.424AM,2.04,3000,
0901831,38,male,$2014.0,38,red,5,1st,23secs,10:17:4.192PM,11:37:5.988AM,6.82,3750,37503750375037503750
0901832,72,female,$2016.0000000000002,60,gReeN,7,9th,21secs,9:51:30.308PM,7:53:43.952AM,9.42,2000,
0901833,53,male,$10652.999999999998,9,yellow,1,8th,28secs,4:59:11.855AM,5:1:22.385AM,11.26,2750,
0901834,11,Male,$550.0,52,gReeN,5,4th,23secs,1:44:2.590AM,12:47:4.905PM,-0.98,2500,
0901835,19,f,$3553.0,31,green,8,9th,20secs,10:34:2.112PM,10:54:4.717AM,-0.55,2000,200020002000200020002000200020002000200020002000200020002000
0901836,81,M,$5832.0,55,blue,3,3rd,25secs,9:46:29.500PM,11:52:45.318AM,-9.65,1500,15001500150015001500
0901837,54,female,$1620.0,5,gReeN,2,8th,25secs,11:49:40.816PM,7:16:15.251AM,2.72,3000,300030003000300030003000300030003000300030003000300030003000
0901838,36,m,$2160.0,6,None,0,4th,27secs,7:31:41.683PM,12:44:11.180PM,11.66,1500,150015001500150015001500150015001500150015001500150015001500
0901839,37,Male,$1776.0,19,yellow,6,3rd,25secs,12:39:25.891PM,9:4:40.864AM,8.34,1750,1750175017501750175017501750175017501750
0901840,82,female,$16482.0,49,yellow,6,2nd,29secs,11:8:49.379PM,5:32:41.830AM,6.7,1500,15001500150015001500
0901841,31,male,$2511.0,43,reD,1,5th,28secs,2:26:39.107AM,11:7:31.287AM,3.98,3750,37503750375037503750
0901842,27,M,$1161.0,14,blue,3,7th,23secs,3:20:57.12AM,7:6:51.5AM,-12.37,1750,17501750175017501750
0901843,41,F,$3526.0,44,yellow,6,2nd,27secs,11:6:15.554PM,6:15:24.313AM,4.8,1750,
0901844,88,m,$15136.0,5,None,6,8th,28secs,12:51:39.446PM,9:3:41.422AM,-6.57,1750,17501750175017501750175017501750175017501750175017501750175017501750175017501750
0901845,84,Female,$9156.0,7,green,7,8th,30secs,10:56:45.352PM,7:35:9.292AM,11.12,3000,300030003000300030003000300030003000300030003000300030003000
0901846,16,Male,$911.9999999999999,0,None,1,8th,24secs,1:9:14.158AM,8:7:10.244AM,-5.94,1500,
0901847,11,f,$1584.0,76,BLUE,0,2nd,20secs,9:38:48.90PM,11:50:39.168AM,-3.68,2750,27502750275027502750275027502750275027502750275027502750275027502750275027502750
0901848,35,Female,$2135.0,19,reD,0,7th,21secs,10:58:1.655PM,11:14:15.633AM,-6.47,2500,25002500250025002500250025002500250025002500250025002500250025002500250025002500
0901849,51,X,$3417.0,5,BLUE,1,2nd,29secs,10:43:34.823PM,10:2:45.542AM,-3.98,3000,300030003000300030003000300030003000300030003000300030003000
0901850,56,F,$14448.0,27,yellow,8,2nd,28secs,0,11:30:31.63AM,-10.54,1750,
0901851,14,X,$4060.0,67,blue,8,9th,23secs,3:44:37.886AM,7:18:56.836AM,1.06,2000,20002000200020002000200020002000200020002000200020002000200020002000200020002000
0901852,63,Male,$14363.999999999998,13,BLUE,5,8th,22secs,9:53:17.288PM,7:54:10.534AM,6.92,3250,3250325032503250325032503250325032503250
